No.,Building Code,Room Code,room_capacity_indicator,room_capacity_value,room_category_1,room_category_2,room_category_3,room_category_4,room_category_5,room_category_6,room_category_7,room_category_8,room_category_NA,room_area_indicator,room_area_value,room_riv_rate_indicator,room_riv_rate_value,room_age_indicator,room_age_value,room_assessment_condition_rating_indicator,room_assessment_condition_rating_value,room_space_quality_indicator,room_space_quality_value
40,101,G20,1,0,0,0,0,0,0,0,0,1,0,0,0.000751617,0,0.135875671,0,0.386503067,0,0.386503067,0,0
41,101,G20A,1,0,0,0,0,1,0,0,0,0,0,0,0.000766276,0,0.135875671,0,0.386503067,0,0.386503067,0,0
42,101,G21,1,0,0,0,0,0,0,0,0,1,0,0,0.003130406,0,0.135875671,0,0.386503067,0,0.386503067,0,0
43,101,G23,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001455259,0,0.135875671,0,0.386503067,0,0.386503067,0,0
44,101,G25,1,0,0,0,0,0,0,1,0,0,0,0,0.076824871,0,0.135875671,0,0.386503067,0,0.386503067,0,0
45,101,G25A,1,0,0,0,0,1,0,0,0,0,0,0,0.000606358,0,0.135875671,0,0.386503067,0,0.386503067,0,0
46,101,G25B,1,0,0,0,0,1,0,0,0,0,0,0,0.000237213,0,0.135875671,0,0.386503067,0,0.386503067,0,0
47,101,G25C,1,0,0,0,0,1,0,0,0,0,0,0,0.000262533,0,0.135875671,0,0.386503067,0,0.386503067,0,0
48,101,G25D,1,0,0,0,0,1,0,0,0,0,0,0,0.000606358,0,0.135875671,0,0.386503067,0,0.386503067,0,0
49,101,G25E,1,0,0,0,0,1,0,0,0,0,0,0,0.000262533,0,0.135875671,0,0.386503067,0,0.386503067,0,0
50,101,G25F,1,0,0,0,0,1,0,0,0,0,0,0,0.000521068,0,0.135875671,0,0.386503067,0,0.386503067,0,0
51,101,G26,1,0,0,0,0,0,0,1,0,0,0,0,0.003279663,0,0.135875671,0,0.386503067,0,0.386503067,0,0
52,101,G27,1,0,0,0,0,0,0,1,0,0,0,0,0.001697802,0,0.135875671,0,0.386503067,0,0.386503067,0,0
53,101,G28,1,0,0,0,0,0,0,1,0,0,0,0,0.015676016,0,0.135875671,0,0.386503067,0,0.386503067,0,0
54,101,L101,1,0,0,0,0,0,0,0,0,1,0,0,0.000509074,0,0.135875671,0,0.386503067,0,0.386503067,0,0
55,101,L201,1,0,0,0,0,0,0,0,0,1,0,0,0.000203896,0,0.135875671,0,0.386503067,0,0.386503067,0,0
56,101,S1M01,0,0,0,0,0,0,0,0,0,1,0,0,0.000270529,0,0.135875671,0,0.386503067,0,0.386503067,0,0
57,101,S201,1,0,0,0,0,0,0,0,0,1,0,0,0.00085823,0,0.135875671,0,0.386503067,0,0.386503067,0,0
58,101,S202,1,0,0,0,0,0,0,0,0,1,0,0,0.000286521,0,0.135875671,0,0.386503067,0,0.386503067,0,0
59,101,S203,1,0,0,0,0,0,0,0,0,1,0,0,0.001401953,0,0.135875671,0,0.386503067,0,0.386503067,0,0
60,101,S204,1,0,0,0,0,0,0,0,0,1,0,0,0.000278525,0,0.135875671,0,0.386503067,0,0.386503067,0,0
61,101,SB01,1,0,0,0,0,0,0,0,0,1,0,0,0.000305178,0,0.135875671,0,0.386503067,0,0.386503067,0,0
62,101,SB02,1,0,0,0,0,0,0,0,0,1,0,0,0.000433113,0,0.135875671,0,0.386503067,0,0.386503067,0,0
63,101,SG01,1,0,0,0,0,0,0,0,0,1,0,0,0.000266531,0,0.135875671,0,0.386503067,0,0.386503067,0,0
64,101,SG02,1,0,0,0,0,0,0,0,0,1,0,0,0.000534394,0,0.135875671,0,0.386503067,0,0.386503067,0,0
65,101,SG03,1,0,0,0,0,0,0,0,0,1,0,0,0.000338494,0,0.135875671,0,0.386503067,0,0.386503067,0,0
66,101,SG04,1,0,0,0,0,0,0,0,0,1,0,0,0.000545056,0,0.135875671,0,0.386503067,0,0.386503067,0,0
67,101,SG05,1,0,0,0,0,0,0,0,0,1,0,0,0.000874221,0,0.135875671,0,0.386503067,0,0.386503067,0,0
68,102,101,0,0.007843137,0,0,1,0,0,0,0,0,0,0,0.007979936,0,0.262266019,0,0.09202454,0,0.09202454,0,1
69,102,102,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
70,102,103,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002905187,0,0.262266019,0,0.09202454,0,0.09202454,0,1
71,102,103A,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002970487,0,0.262266019,0,0.09202454,0,0.09202454,0,1
72,102,104,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.00567311,0,0.262266019,0,0.09202454,0,0.09202454,0,1
73,102,105,0,0.005882353,1,0,0,0,0,0,0,0,0,0,0.001925686,0,0.262266019,0,0.09202454,0,0.09202454,0,1
74,102,106,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001923021,0,0.262266019,0,0.09202454,0,0.09202454,0,1
75,102,107,0,0.037254902,0,0,0,0,0,1,0,0,0,0,0.017629687,0,0.262266019,0,0.09202454,0,0.09202454,0,1
76,102,108,1,0,0,0,0,0,0,1,0,0,0,0,0.000409125,0,0.262266019,0,0.09202454,0,0.09202454,0,1
77,102,109,1,0,0,0,0,0,0,0,0,1,0,0,0.006312785,0,0.262266019,0,0.09202454,0,0.09202454,0,1
78,102,110,0,0.035294118,0,0,1,0,0,0,0,0,0,0,0.018629178,0,0.262266019,0,0.09202454,0,0.09202454,0,1
79,102,111,1,0,0,0,0,1,0,0,0,0,0,0,0.003237018,0,0.262266019,0,0.09202454,0,0.09202454,0,1
80,102,112,1,0,0,0,0,1,0,0,0,0,0,0,0.001584526,0,0.262266019,0,0.09202454,0,0.09202454,0,1
81,102,113,1,0,0,0,0,1,0,0,0,0,0,0,0.001604516,0,0.262266019,0,0.09202454,0,0.09202454,0,1
82,102,114,0,0.023529412,0,0,1,0,0,0,0,0,0,0,0.011624746,0,0.262266019,0,0.09202454,0,0.09202454,0,1
83,102,115,0,0.035294118,0,0,1,0,0,0,0,0,0,0,0.015939881,0,0.262266019,0,0.09202454,0,0.09202454,0,1
84,102,115A,1,0,0,0,0,1,0,0,0,0,0,0,0.002596011,0,0.262266019,0,0.09202454,0,0.09202454,0,1
85,102,116,1,0,0,0,0,1,0,0,0,0,0,0,0.001584526,0,0.262266019,0,0.09202454,0,0.09202454,0,1
86,102,117,1,0,0,0,0,1,0,0,0,0,0,0,0.001604516,0,0.262266019,0,0.09202454,0,0.09202454,0,1
87,102,118,1,0,0,0,0,1,0,0,0,0,0,0,0.003238351,0,0.262266019,0,0.09202454,0,0.09202454,0,1
88,102,119,0,0.005882353,1,0,0,0,0,0,0,0,0,0,0.001913692,0,0.262266019,0,0.09202454,0,0.09202454,0,1
89,102,119A,0,0.007843137,1,0,0,0,0,0,0,0,0,0,0.001968331,0,0.262266019,0,0.09202454,0,0.09202454,0,1
90,102,120,1,0,0,0,0,1,0,0,0,0,0,0,0.002915848,0,0.262266019,0,0.09202454,0,0.09202454,0,1
91,102,121,1,0,0,0,0,0,0,0,0,1,0,0,0.001004822,0,0.262266019,0,0.09202454,0,0.09202454,0,1
92,102,122,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
93,102,123,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
94,102,124,0,0.019607843,1,0,0,0,0,0,0,0,0,0,0.002939836,0,0.262266019,0,0.09202454,0,0.09202454,0,1
95,102,124A,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002871871,0,0.262266019,0,0.09202454,0,0.09202454,0,1
96,102,124B,0,0.015686275,1,0,0,0,0,0,0,0,0,0,0.002871871,0,0.262266019,0,0.09202454,0,0.09202454,0,1
97,102,125,0,0.003921569,0,0,1,0,0,0,0,0,0,0,0.00567311,0,0.262266019,0,0.09202454,0,0.09202454,0,1
98,102,126,0,0.001960784,1,0,0,0,0,0,0,0,0,0,0.001924353,0,0.262266019,0,0.09202454,0,0.09202454,0,1
